date,amount,currency,merchant,description
2024-01-01,-2500,AED,Salary,Monthly salary
2024-01-02,-45,AED,Carrefour,Groceries
2024-01-02,-28,AED,Careem,Taxi ride
2024-01-03,-65,AED,Talabat,Food delivery dinner
2024-01-04,-120,AED,Amazon,Online shopping
2024-01-05,-200,AED,ENOC,Fuel refill
2024-01-06,-22,AED,Spotify,Monthly subscription
2024-01-06,-56,AED,Netflix,Monthly subscription
2024-01-07,-80,AED,Deliveroo,Food delivery lunch
2024-01-08,-45,AED,Carrefour,Groceries
2024-01-09,-35,AED,Careem,Taxi ride
2024-01-10,-120,AED,Noon,Online shopping
2024-01-11,-350,AED,DEWA,Electricity and water bill
2024-01-12,-210,AED,Etisalat,Mobile bill
2024-01-13,-40,AED,Google,Cloud storage
2024-01-14,-90,AED,Talabat,Food delivery
2024-01-15,-60,AED,Apple,App Store purchase
2024-01-16,-180,AED,Carrefour,Groceries
2024-01-17,-32,AED,Careem,Taxi ride
2024-01-18,-140,AED,Amazon,Electronics accessory
2024-01-19,-85,AED,Deliveroo,Food delivery
2024-01-20,-250,AED,ENOC,Fuel refill
2024-01-21,-22,AED,Spotify,Monthly subscription
2024-01-21,-56,AED,Netflix,Monthly subscription
2024-01-22,-45,AED,Carrefour,Groceries
2024-01-23,-120,AED,Noon,Online shopping
2024-01-24,-35,AED,Careem,Taxi ride
2024-01-25,-400,AED,DEWA,Electricity and water bill
2024-01-26,-210,AED,Du,Internet bill
2024-01-27,-75,AED,Talabat,Food delivery
2024-01-28,-60,AED,Apple,App Store purchase
2024-01-29,-95,AED,Deliveroo,Food delivery
2024-01-30,-45,AED,Carrefour,Groceries
2024-01-31,-22,AED,Spotify,Monthly subscription
2024-01-31,-56,AED,Netflix,Monthly subscription
2024-02-01,-28,AED,Careem,Taxi ride
2024-02-02,-110,AED,Amazon,Online shopping
2024-02-03,-190,AED,ENOC,Fuel refill
2024-02-04,-85,AED,Talabat,Food delivery
2024-02-05,-350,AED,DEWA,Electricity and water bill
2024-02-06,-210,AED,Etisalat,Mobile bill
2024-02-07,-40,AED,Google,Cloud storage
2024-02-08,-95,AED,Deliveroo,Food delivery
2024-02-09,-45,AED,Carrefour,Groceries
2024-02-10,-600,AED,Apple,New AirPods purchase
2024-02-11,-35,AED,Careem,Taxi ride
2024-02-12,-75,AED,Noon,Online shopping
